Year,Month,Subject,Level,Language,Registration number,Category,Predicted grade,Grade,Scaled total mark for subject
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,53,DIPLOMA,6,7,85
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,15,DIPLOMA,6,6,82
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,17,DIPLOMA,6,6,79
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,18,DIPLOMA,6,6,77
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,22,DIPLOMA,6,6,78
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,30,DIPLOMA,6,6,74
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,37,DIPLOMA,6,6,79
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,41,DIPLOMA,6,6,79
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,43,DIPLOMA,6,6,73
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,47,DIPLOMA,6,6,71
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,50,DIPLOMA,6,6,76
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,54,DIPLOMA,6,6,80
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,55,DIPLOMA,6,6,82
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,57,DIPLOMA,6,6,76
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,21,DIPLOMA,5,5,70
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,26,DIPLOMA,6,5,68
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,29,DIPLOMA,6,5,70
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,40,DIPLOMA,5,5,68
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,44,DIPLOMA,5,5,70
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,46,DIPLOMA,6,5,70
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,48,DIPLOMA,5,5,62
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,58,DIPLOMA,4,5,57
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,60,DIPLOMA,5,5,64
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,16,DIPLOMA,6,4,55
2000,MAY,SPANISH A: Lang and Literature,HL,SPANISH,19,DIPLOMA,6,4,56
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,24,DIPLOMA,6,7,85
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,12,DIPLOMA,7,6,84
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,20,DIPLOMA,7,6,81
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,25,DIPLOMA,5,6,73
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,28,DIPLOMA,7,6,81
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,33,DIPLOMA,7,6,75
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,35,DIPLOMA,5,6,73
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,38,DIPLOMA,7,6,84
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,39,DIPLOMA,6,6,78
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,42,DIPLOMA,6,6,74
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,49,DIPLOMA,5,6,78
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,51,DIPLOMA,6,6,74
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,1,DIPLOMA,4,5,65
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,13,DIPLOMA,5,5,62
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,14,DIPLOMA,5,5,62
2000,MAY,SPANISH A: Lang and Literature,SL,SPANISH,23,DIPLOMA,6,5,65
